Project,Publication
Cancer Immunotherapy,10.1101/2020.10.08.329805
Cancer Immunotherapy,10.3390/polym12061233
Tissue Engineering,10.1080/07388551.2016.1209157
Learning and Dynamic Spectrum Access,10.1109/INFOCOM.2018.8486207
Perpetually Operating Internet of Things,10.1109/TCOMM.2019.2914652
Networked Robotics,10.1109/JIOT.2021.3053632
Networked Robotics,10.1109/TVT.2020.3042128
Perpetually Operating Internet of Things,10.1109/MCOM.001.2000180
Interpretable data analytics,10.1016/j.cor.2020.105049
Dynamic pattern recognition,10.1038/s41598-020-65401-6
Operations Research,10.1016/j.artmed.2020.101806
Operations Research,10.3390/healthcare8020078
Operations Research,10.1007/s42524-020-0093-5
Hospital Community Benefits,10.1364/BOE.411898
Pay-for-Performance and Quality of Care,10.1364/BOE.409468
Hospital Supply Chain,10.1101/2020.02.16.951590
Opioid Addiction,10.1097/HMR.0000000000000283
Hospital-Physician Integration,10.1353/hpu.2021.0016
Medicare Quality Ratings,10.37765/ajmc.2020.88502
Low Value Care,10.1177/0033354920946788
Hospital Community Benefits,10.1007/s11606-020-05761-x
Pay-for-Performance and Quality of Care,10.1177/1077558718754573
Hospital Supply Chain,10.1097/JHM-D-17-00177
ìSeeingî Neighborhoods through ìBigî Data,10.1177/0081175015576601
ìSeeingî Neighborhoods through ìBigî Data,10.1007/s10464-014-9685-8
ìSeeingî Neighborhoods through ìBigî Data,10.1177/0022427815577835
Custodianship in the Urban Commons,10.1093/jopart/muw046
Custodianship in the Urban Commons,10.1016/j.ssresearch.2016.04.009
Custodianship in the Urban Commons,10.1037/ebs0000063
Custodianship in the Urban Commons,10.1177/0013916513499585
Custodianship in the Urban Commons,10.1016/j.jenvp.2014.08.003
Sign Language Development,10.1744292
Forensic Psychology,10.1744291
Forensic Psychology,10.1744295
Integrated Resilience Enhancement Solutions,10.97816428
Enterprise Continuity and Recovery Solutions,10.1257/aer.p20171126
Enterprise Continuity and Recovery Solutions,10.1257/aer.p20171127
Enterprise Continuity and Recovery Solutions,10.1257/aer.p20171128
Cyber Resilience,10.1257/aer.p20171129
Integrated Resilience Enhancement Solutions,10.3390/v13020146
